Game,Max depth,Move Order,Winner
0,2,"['f', 'c', 'd', 'b', 'a', 'e']",1
1,3,"['d', 'a', 'e', 'c', 'f', 'b']",0
2,4,"['d', 'b', 'a', 'e', 'f', 'c']",1
3,5,"['d', 'b', 'e', 'c', 'f', 'a']",1
4,2,"['c', 'f', 'd', 'e', 'a', 'b']",1
5,3,"['c', 'b', 'a', 'd', 'e', 'f']",0
6,4,"['e', 'f', 'b', 'd', 'c', 'a']",0
7,5,"['a', 'f', 'c', 'b', 'd', 'e']",0
8,2,"['b', 'f', 'd', 'e', 'c', 'a']",1
9,3,"['d', 'b', 'f', 'e', 'c', 'a']",0
10,4,"['a', 'f', 'c', 'b', 'd', 'e']",0
11,5,"['e', 'd', 'c', 'b', 'a', 'f']",0
12,2,"['e', 'a', 'f', 'c', 'b', 'd']",1
13,3,"['f', 'c', 'b', 'd', 'e', 'a']",1
14,4,"['b', 'd', 'a', 'e', 'f', 'c']",1
15,5,"['b', 'f', 'c', 'e', 'd', 'a']",0
16,2,"['a', 'b', 'e', 'f', 'd', 'c']",1
17,3,"['a', 'd', 'e', 'f', 'b', 'c']",1
18,4,"['d', 'c', 'b', 'a', 'f', 'e']",1
19,5,"['e', 'd', 'f', 'b', 'a', 'c']",0
20,2,"['d', 'f', 'b', 'c', 'e', 'a']",1
21,3,"['b', 'c', 'd', 'f', 'a', 'e']",0
22,4,"['b', 'd', 'c', 'e', 'f', 'a']",0
23,5,"['e', 'b', 'c', 'a', 'f', 'd']",0
24,2,"['f', 'a', 'c', 'd', 'b', 'e']",0
25,3,"['b', 'c', 'e', 'd', 'f', 'a']",0
26,4,"['e', 'd', 'f', 'c', 'b', 'a']",0
27,5,"['c', 'f', 'e', 'a', 'd', 'b']",0
28,2,"['f', 'b', 'c', 'a', 'e', 'd']",1
29,3,"['a', 'c', 'e', 'd', 'f', 'b']",1
30,4,"['c', 'e', 'a', 'd', 'f', 'b']",0
31,5,"['a', 'b', 'd', 'e', 'c', 'f']",1
32,2,"['a', 'b', 'f', 'e', 'd', 'c']",1
33,3,"['c', 'b', 'd', 'e', 'a', 'f']",0
34,4,"['e', 'd', 'c', 'a', 'f', 'b']",0
35,5,"['e', 'a', 'c', 'f', 'd', 'b']",1
36,2,"['f', 'b', 'd', 'c', 'e', 'a']",0
37,3,"['c', 'e', 'f', 'a', 'b', 'd']",0
38,4,"['c', 'd', 'b', 'a', 'f', 'e']",1
39,5,"['f', 'a', 'd', 'b', 'e', 'c']",0
40,2,"['a', 'e', 'c', 'f', 'd', 'b']",1
41,3,"['b', 'f', 'a', 'c', 'd', 'e']",0
42,4,"['d', 'c', 'e', 'f', 'a', 'b']",1
43,5,"['d', 'f', 'a', 'e', 'c', 'b']",0
44,2,"['e', 'c', 'f', 'b', 'a', 'd']",1
45,3,"['a', 'c', 'f', 'd', 'b', 'e']",1
46,4,"['e', 'b', 'd', 'c', 'f', 'a']",0
47,5,"['b', 'd', 'e', 'f', 'c', 'a']",0
48,2,"['b', 'f', 'd', 'a', 'c', 'e']",1
49,3,"['d', 'c', 'f', 'e', 'b', 'a']",0
50,4,"['f', 'd', 'a', 'b', 'e', 'c']",1
51,5,"['b', 'd', 'a', 'f', 'e', 'c']",1
52,2,"['f', 'c', 'd', 'b', 'a', 'e']",1
53,3,"['b', 'e', 'c', 'd', 'a', 'f']",1
54,4,"['f', 'd', 'a', 'c', 'e', 'b']",0
55,5,"['b', 'c', 'a', 'f', 'd', 'e']",1
56,2,"['b', 'a', 'd', 'f', 'c', 'e']",1
