Game,Max depth,Move Order,Winner
46,4,"['f', 'e', 'd', 'a', 'b', 'c']",0
47,5,"['f', 'c', 'b', 'e', 'd', 'a']",0
48,2,"['c', 'b', 'd', 'a', 'f', 'e']",0
49,3,"['a', 'e', 'c', 'd', 'f', 'b']",1
50,4,"['b', 'a', 'e', 'c', 'f', 'd']",1
51,5,"['c', 'a', 'd', 'f', 'e', 'b']",0
52,2,"['f', 'e', 'b', 'c', 'a', 'd']",0
53,3,"['d', 'c', 'f', 'a', 'e', 'b']",0
54,4,"['c', 'e', 'd', 'b', 'f', 'a']",1
55,5,"['b', 'd', 'e', 'a', 'f', 'c']",0
56,2,"['e', 'a', 'b', 'd', 'c', 'f']",0
57,3,"['b', 'c', 'd', 'f', 'e', 'a']",1
58,4,"['f', 'c', 'a', 'd', 'e', 'b']",0
59,5,"['e', 'd', 'a', 'b', 'f', 'c']",0
60,2,"['a', 'e', 'b', 'c', 'd', 'f']",0
61,3,"['c', 'a', 'd', 'f', 'b', 'e']",0
62,4,"['f', 'a', 'd', 'c', 'b', 'e']",0
63,5,"['f', 'e', 'd', 'c', 'a', 'b']",1
64,2,"['d', 'f', 'e', 'c', 'b', 'a']",0
65,3,"['f', 'd', 'c', 'e', 'a', 'b']",0
66,4,"['c', 'f', 'e', 'd', 'b', 'a']",1
67,5,"['a', 'b', 'f', 'c', 'e', 'd']",1
68,2,"['f', 'c', 'd', 'a', 'b', 'e']",0
69,3,"['f', 'b', 'd', 'e', 'a', 'c']",0
70,4,"['f', 'b', 'e', 'a', 'd', 'c']",0
71,5,"['a', 'd', 'c', 'b', 'e', 'f']",0
72,2,"['c', 'e', 'f', 'a', 'b', 'd']",1
73,3,"['d', 'f', 'c', 'e', 'b', 'a']",0
74,4,"['c', 'e', 'd', 'b', 'a', 'f']",1
75,5,"['c', 'a', 'd', 'b', 'e', 'f']",1
76,2,"['a', 'e', 'd', 'c', 'f', 'b']",0
77,3,"['d', 'f', 'a', 'c', 'b', 'e']",0
78,4,"['e', 'a', 'd', 'f', 'c', 'b']",1
79,5,"['a', 'e', 'c', 'd', 'f', 'b']",0
80,2,"['f', 'a', 'd', 'c', 'e', 'b']",0
81,3,"['d', 'a', 'e', 'b', 'c', 'f']",0
82,4,"['c', 'f', 'a', 'b', 'd', 'e']",0
83,5,"['d', 'e', 'b', 'c', 'a', 'f']",0
84,2,"['e', 'a', 'f', 'd', 'b', 'c']",0
85,3,"['f', 'e', 'a', 'd', 'b', 'c']",0
86,4,"['e', 'a', 'b', 'f', 'd', 'c']",1
87,5,"['b', 'd', 'e', 'c', 'f', 'a']",0
88,2,"['d', 'e', 'b', 'c', 'f', 'a']",0
89,3,"['d', 'e', 'a', 'f', 'b', 'c']",0
90,4,"['a', 'b', 'd', 'c', 'e', 'f']",0
91,5,"['d', 'c', 'a', 'e', 'f', 'b']",0
92,2,"['c', 'f', 'b', 'd', 'a', 'e']",0
93,3,"['d', 'e', 'c', 'a', 'f', 'b']",0
94,4,"['b', 'f', 'e', 'c', 'd', 'a']",0
95,5,"['e', 'f', 'a', 'c', 'b', 'd']",0
96,2,"['d', 'a', 'e', 'f', 'c', 'b']",0
97,3,"['e', 'b', 'c', 'f', 'd', 'a']",0
98,4,"['d', 'a', 'f', 'b', 'e', 'c']",0
99,5,"['f', 'c', 'b', 'a', 'd', 'e']",0
Games won,by player 0,with heuristic1: ,82
Games won,by player 1,with heuristic2: ,18
