Game,Max depth,Move Order,Winner
0,2,"['f', 'b', 'e', 'a', 'd', 'c']",1
1,3,"['f', 'b', 'e', 'a', 'c', 'd']",0
2,4,"['b', 'd', 'c', 'f', 'a', 'e']",1
3,5,"['f', 'b', 'd', 'e', 'c', 'a']",0
4,2,"['c', 'e', 'd', 'b', 'a', 'f']",1
5,3,"['e', 'b', 'd', 'c', 'a', 'f']",0
6,4,"['c', 'f', 'a', 'e', 'b', 'd']",0
7,5,"['d', 'f', 'c', 'a', 'e', 'b']",0
8,2,"['b', 'f', 'e', 'c', 'd', 'a']",0
9,3,"['e', 'b', 'a', 'c', 'f', 'd']",0
10,4,"['b', 'f', 'd', 'c', 'a', 'e']",1
11,5,"['a', 'f', 'b', 'e', 'd', 'c']",0
12,2,"['d', 'e', 'b', 'c', 'a', 'f']",0
13,3,"['f', 'c', 'd', 'e', 'a', 'b']",0
14,4,"['f', 'a', 'd', 'e', 'b', 'c']",0
15,5,"['b', 'a', 'e', 'c', 'f', 'd']",0
16,2,"['c', 'f', 'b', 'd', 'e', 'a']",0
17,3,"['e', 'd', 'a', 'f', 'c', 'b']",0
18,4,"['d', 'a', 'f', 'c', 'e', 'b']",0
19,5,"['e', 'a', 'c', 'f', 'b', 'd']",0
20,2,"['b', 'c', 'a', 'e', 'f', 'd']",0
21,3,"['c', 'b', 'd', 'f', 'e', 'a']",0
22,4,"['e', 'd', 'a', 'b', 'c', 'f']",0
23,5,"['c', 'a', 'e', 'b', 'd', 'f']",0
24,2,"['a', 'e', 'd', 'f', 'c', 'b']",0
25,3,"['c', 'f', 'd', 'e', 'b', 'a']",0
26,4,"['b', 'a', 'c', 'e', 'd', 'f']",0
27,5,"['a', 'b', 'e', 'f', 'c', 'd']",0
28,2,"['e', 'f', 'c', 'b', 'd', 'a']",0
29,3,"['a', 'c', 'e', 'f', 'b', 'd']",0
30,4,"['f', 'e', 'b', 'a', 'd', 'c']",1
31,5,"['e', 'a', 'f', 'c', 'b', 'd']",0
32,2,"['e', 'd', 'f', 'c', 'a', 'b']",0
33,3,"['e', 'f', 'd', 'a', 'b', 'c']",0
34,4,"['c', 'f', 'b', 'd', 'e', 'a']",0
35,5,"['f', 'b', 'e', 'a', 'c', 'd']",0
36,2,"['f', 'c', 'b', 'e', 'a', 'd']",0
37,3,"['e', 'c', 'a', 'b', 'd', 'f']",0
38,4,"['a', 'b', 'd', 'c', 'e', 'f']",0
39,5,"['b', 'f', 'e', 'd', 'a', 'c']",0
40,2,"['c', 'b', 'f', 'e', 'd', 'a']",0
41,3,"['f', 'a', 'd', 'b', 'e', 'c']",0
42,4,"['f', 'a', 'e', 'b', 'd', 'c']",1
43,5,"['d', 'a', 'f', 'c', 'b', 'e']",0
44,2,"['b', 'f', 'd', 'c', 'a', 'e']",0
45,3,"['e', 'c', 'b', 'f', 'd', 'a']",0
