Game,Max depth,Move Order,Winner
0,2,"['a', 'c', 'e', 'f', 'b', 'd']",0
1,3,"['d', 'e', 'f', 'c', 'b', 'a']",0
2,4,"['c', 'd', 'a', 'b', 'e', 'f']",1
3,5,"['d', 'a', 'e', 'f', 'b', 'c']",0
4,2,"['b', 'a', 'f', 'c', 'd', 'e']",1
5,3,"['b', 'e', 'd', 'c', 'a', 'f']",0
6,4,"['c', 'd', 'a', 'f', 'e', 'b']",1
7,5,"['e', 'f', 'b', 'c', 'd', 'a']",0
8,2,"['b', 'd', 'f', 'e', 'c', 'a']",1
9,3,"['a', 'b', 'f', 'd', 'e', 'c']",0
10,4,"['e', 'b', 'a', 'c', 'f', 'd']",0
11,5,"['f', 'a', 'c', 'b', 'd', 'e']",1
12,2,"['d', 'b', 'a', 'f', 'c', 'e']",1
13,3,"['f', 'd', 'b', 'c', 'e', 'a']",0
14,4,"['e', 'b', 'd', 'a', 'c', 'f']",1
15,5,"['e', 'd', 'c', 'f', 'b', 'a']",0
16,2,"['e', 'b', 'c', 'a', 'f', 'd']",0
17,3,"['f', 'd', 'a', 'e', 'b', 'c']",0
18,4,"['b', 'f', 'e', 'c', 'd', 'a']",0
19,5,"['f', 'b', 'e', 'c', 'a', 'd']",0
20,2,"['e', 'c', 'a', 'f', 'd', 'b']",0
21,3,"['c', 'b', 'a', 'e', 'f', 'd']",0
22,4,"['c', 'a', 'b', 'e', 'd', 'f']",1
23,5,"['c', 'd', 'a', 'f', 'b', 'e']",0
24,2,"['b', 'd', 'a', 'e', 'f', 'c']",1
25,3,"['e', 'c', 'a', 'd', 'b', 'f']",0
26,4,"['c', 'f', 'a', 'e', 'd', 'b']",0
27,5,"['b', 'd', 'e', 'f', 'a', 'c']",0
28,2,"['c', 'a', 'f', 'b', 'd', 'e']",1
29,3,"['d', 'a', 'f', 'b', 'e', 'c']",0
30,4,"['a', 'e', 'b', 'f', 'c', 'd']",0
31,5,"['b', 'c', 'd', 'f', 'a', 'e']",0
32,2,"['d', 'b', 'f', 'e', 'c', 'a']",0
33,3,"['f', 'e', 'b', 'd', 'c', 'a']",0
34,4,"['b', 'a', 'c', 'f', 'd', 'e']",0
35,5,"['c', 'f', 'e', 'd', 'a', 'b']",0
36,2,"['e', 'd', 'c', 'f', 'b', 'a']",1
37,3,"['c', 'a', 'd', 'f', 'e', 'b']",0
38,4,"['e', 'd', 'f', 'b', 'c', 'a']",0
39,5,"['b', 'f', 'c', 'e', 'd', 'a']",0
40,2,"['f', 'b', 'd', 'a', 'e', 'c']",0
41,3,"['b', 'd', 'f', 'c', 'a', 'e']",0
42,4,"['f', 'a', 'd', 'e', 'b', 'c']",0
43,5,"['d', 'e', 'a', 'c', 'f', 'b']",1
44,2,"['e', 'f', 'd', 'b', 'c', 'a']",1
45,3,"['d', 'b', 'c', 'f', 'a', 'e']",0
46,4,"['f', 'e', 'a', 'd', 'c', 'b']",1
47,5,"['f', 'e', 'a', 'c', 'b', 'd']",0
48,2,"['e', 'f', 'a', 'b', 'c', 'd']",1
49,3,"['f', 'b', 'c', 'e', 'a', 'd']",1
50,4,"['c', 'b', 'd', 'e', 'a', 'f']",0
51,5,"['f', 'b', 'e', 'd', 'c', 'a']",0
52,2,"['b', 'a', 'f', 'c', 'e', 'd']",1
53,3,"['e', 'f', 'c', 'd', 'b', 'a']",0
54,4,"['d', 'e', 'a', 'f', 'c', 'b']",1
55,5,"['e', 'f', 'c', 'd', 'b', 'a']",0
56,2,"['b', 'c', 'f', 'a', 'e', 'd']",1
57,3,"['a', 'b', 'f', 'c', 'e', 'd']",0
58,4,"['f', 'd', 'e', 'c', 'a', 'b']",0
59,5,"['c', 'f', 'a', 'd', 'e', 'b']",0
60,2,"['f', 'b', 'e', 'd', 'a', 'c']",0
61,3,"['b', 'f', 'c', 'd', 'a', 'e']",0
62,4,"['e', 'f', 'd', 'c', 'a', 'b']",0
63,5,"['a', 'c', 'd', 'e', 'f', 'b']",0
64,2,"['f', 'b', 'c', 'd', 'a', 'e']",0
65,3,"['e', 'f', 'd', 'b', 'a', 'c']",1
66,4,"['d', 'f', 'b', 'c', 'a', 'e']",0
67,5,"['b', 'd', 'f', 'a', 'c', 'e']",0
68,2,"['f', 'b', 'c', 'd', 'a', 'e']",0
69,3,"['a', 'c', 'f', 'b', 'd', 'e']",0
