Game,Max depth,Move Order,Winner
0,2,"['d', 'b', 'c', 'f', 'a', 'e']",0
1,3,"['d', 'f', 'c', 'b', 'a', 'e']",0
2,4,"['d', 'a', 'b', 'f', 'c', 'e']",1
3,5,"['d', 'f', 'a', 'b', 'e', 'c']",0
4,2,"['c', 'b', 'e', 'a', 'f', 'd']",1
5,3,"['d', 'e', 'b', 'a', 'f', 'c']",0
6,4,"['d', 'b', 'a', 'c', 'f', 'e']",0
7,5,"['c', 'a', 'd', 'b', 'e', 'f']",0
8,2,"['d', 'a', 'c', 'f', 'e', 'b']",0
9,3,"['b', 'c', 'a', 'd', 'f', 'e']",1
10,4,"['b', 'a', 'd', 'f', 'c', 'e']",0
11,5,"['b', 'e', 'c', 'd', 'f', 'a']",0
12,2,"['c', 'e', 'a', 'b', 'd', 'f']",1
13,3,"['f', 'e', 'b', 'a', 'd', 'c']",0
14,4,"['b', 'a', 'c', 'f', 'd', 'e']",0
15,5,"['b', 'c', 'a', 'f', 'd', 'e']",0
16,2,"['c', 'f', 'b', 'd', 'e', 'a']",0
17,3,"['c', 'e', 'd', 'f', 'b', 'a']",0
18,4,"['e', 'b', 'c', 'a', 'd', 'f']",0
19,5,"['f', 'd', 'b', 'a', 'e', 'c']",0
20,2,"['b', 'd', 'c', 'a', 'f', 'e']",1
21,3,"['a', 'e', 'b', 'd', 'f', 'c']",0
22,4,"['b', 'f', 'a', 'd', 'c', 'e']",1
23,5,"['a', 'd', 'c', 'e', 'b', 'f']",0
24,2,"['c', 'e', 'f', 'a', 'b', 'd']",0
25,3,"['b', 'd', 'c', 'f', 'e', 'a']",0
26,4,"['a', 'd', 'e', 'c', 'f', 'b']",0
27,5,"['e', 'f', 'c', 'b', 'a', 'd']",0
28,2,"['c', 'd', 'e', 'b', 'f', 'a']",0
29,3,"['a', 'c', 'd', 'f', 'e', 'b']",0
30,4,"['d', 'a', 'e', 'c', 'f', 'b']",0
31,5,"['c', 'b', 'a', 'f', 'd', 'e']",0
32,2,"['d', 'a', 'e', 'c', 'b', 'f']",0
33,3,"['e', 'c', 'd', 'b', 'a', 'f']",0
34,4,"['e', 'c', 'b', 'd', 'a', 'f']",0
35,5,"['b', 'e', 'c', 'f', 'd', 'a']",0
36,2,"['e', 'd', 'a', 'c', 'b', 'f']",0
37,3,"['d', 'c', 'b', 'e', 'a', 'f']",0
38,4,"['f', 'd', 'b', 'e', 'c', 'a']",0
39,5,"['b', 'd', 'f', 'c', 'e', 'a']",0
40,2,"['c', 'd', 'f', 'e', 'a', 'b']",0
41,3,"['a', 'e', 'c', 'b', 'f', 'd']",0
42,4,"['a', 'f', 'c', 'e', 'd', 'b']",0
43,5,"['f', 'e', 'c', 'b', 'a', 'd']",0
44,2,"['d', 'e', 'c', 'b', 'a', 'f']",1
45,3,"['f', 'd', 'b', 'c', 'e', 'a']",0
46,4,"['d', 'b', 'c', 'a', 'f', 'e']",1
47,5,"['c', 'd', 'a', 'b', 'e', 'f']",0
48,2,"['f', 'b', 'c', 'e', 'd', 'a']",0
49,3,"['e', 'a', 'c', 'f', 'd', 'b']",0
50,4,"['d', 'b', 'f', 'e', 'a', 'c']",1
51,5,"['e', 'b', 'd', 'c', 'a', 'f']",0
52,2,"['b', 'a', 'f', 'e', 'c', 'd']",0
53,3,"['b', 'f', 'e', 'c', 'd', 'a']",0
54,4,"['a', 'e', 'd', 'c', 'f', 'b']",0
55,5,"['f', 'c', 'd', 'b', 'a', 'e']",0
56,2,"['c', 'a', 'f', 'd', 'b', 'e']",1
57,3,"['c', 'a', 'e', 'f', 'b', 'd']",0
58,4,"['e', 'd', 'c', 'f', 'b', 'a']",0
59,5,"['a', 'e', 'b', 'f', 'd', 'c']",0
60,2,"['d', 'c', 'a', 'e', 'f', 'b']",1
61,3,"['e', 'd', 'f', 'b', 'a', 'c']",0
62,4,"['e', 'f', 'b', 'a', 'c', 'd']",0
63,5,"['e', 'b', 'c', 'f', 'd', 'a']",0
64,2,"['f', 'b', 'd', 'c', 'a', 'e']",0
65,3,"['b', 'd', 'c', 'a', 'f', 'e']",0
66,4,"['d', 'e', 'f', 'b', 'a', 'c']",0
67,5,"['a', 'c', 'f', 'e', 'd', 'b']",0
68,2,"['d', 'b', 'a', 'e', 'f', 'c']",0
69,3,"['c', 'a', 'e', 'b', 'd', 'f']",0
70,4,"['e', 'b', 'f', 'd', 'c', 'a']",0
71,5,"['f', 'c', 'e', 'd', 'b', 'a']",0
72,2,"['a', 'c', 'f', 'e', 'd', 'b']",0
73,3,"['c', 'f', 'b', 'e', 'a', 'd']",0
74,4,"['d', 'b', 'c', 'a', 'f', 'e']",1
75,5,"['a', 'b', 'c', 'f', 'e', 'd']",0
76,2,"['c', 'd', 'f', 'b', 'a', 'e']",1
77,3,"['c', 'b', 'f', 'e', 'a', 'd']",0
78,4,"['c', 'd', 'e', 'f', 'b', 'a']",0
79,5,"['c', 'e', 'b', 'f', 'a', 'd']",1
80,2,"['b', 'c', 'd', 'a', 'e', 'f']",0
81,3,"['f', 'c', 'e', 'b', 'd', 'a']",0
82,4,"['b', 'a', 'f', 'd', 'c', 'e']",0
83,5,"['d', 'f', 'b', 'a', 'c', 'e']",0
84,2,"['c', 'f', 'a', 'b', 'e', 'd']",1
85,3,"['e', 'd', 'c', 'b', 'f', 'a']",0
86,4,"['e', 'c', 'b', 'f', 'a', 'd']",0
87,5,"['b', 'e', 'd', 'f', 'a', 'c']",0
88,2,"['c', 'a', 'b', 'd', 'f', 'e']",0
89,3,"['d', 'e', 'a', 'c', 'b', 'f']",0
90,4,"['a', 'e', 'd', 'c', 'f', 'b']",0
91,5,"['b', 'c', 'a', 'f', 'e', 'd']",0
92,2,"['b', 'c', 'e', 'f', 'd', 'a']",0
93,3,"['a', 'd', 'e', 'b', 'f', 'c']",0
94,4,"['a', 'c', 'f', 'e', 'd', 'b']",0
95,5,"['f', 'c', 'e', 'a', 'd', 'b']",0
96,2,"['b', 'e', 'd', 'c', 'f', 'a']",0
97,3,"['a', 'f', 'e', 'd', 'b', 'c']",0
98,4,"['b', 'e', 'd', 'a', 'c', 'f']",0
99,5,"['d', 'b', 'a', 'e', 'c', 'f']",0
Games won,by player 0,with heuristic1: ,85
Games won,by player 1,with heuristic3: ,15
