Game,Max depth,Move Order,Winner
0,2,"['f', 'c', 'a', 'b', 'd', 'e']",1
1,3,"['d', 'a', 'c', 'f', 'b', 'e']",0
2,4,"['b', 'a', 'd', 'e', 'f', 'c']",0
3,5,"['c', 'b', 'a', 'd', 'f', 'e']",0
4,2,"['c', 'd', 'f', 'b', 'a', 'e']",1
5,3,"['d', 'c', 'f', 'e', 'a', 'b']",0
6,4,"['c', 'b', 'a', 'f', 'e', 'd']",0
7,5,"['f', 'c', 'a', 'b', 'd', 'e']",0
8,2,"['f', 'd', 'c', 'a', 'e', 'b']",0
9,3,"['d', 'e', 'b', 'f', 'a', 'c']",0
10,4,"['b', 'f', 'd', 'c', 'e', 'a']",0
11,5,"['a', 'b', 'f', 'e', 'c', 'd']",0
12,2,"['d', 'a', 'b', 'c', 'e', 'f']",0
13,3,"['c', 'e', 'f', 'b', 'd', 'a']",0
14,4,"['c', 'f', 'e', 'a', 'd', 'b']",0
15,5,"['f', 'e', 'd', 'a', 'b', 'c']",1
16,2,"['c', 'e', 'a', 'b', 'd', 'f']",1
17,3,"['a', 'c', 'd', 'b', 'e', 'f']",0
18,4,"['a', 'f', 'e', 'd', 'c', 'b']",0
19,5,"['c', 'b', 'f', 'a', 'e', 'd']",0
20,2,"['f', 'e', 'a', 'd', 'c', 'b']",0
21,3,"['f', 'b', 'e', 'c', 'a', 'd']",0
22,4,"['f', 'c', 'b', 'd', 'a', 'e']",0
23,5,"['d', 'c', 'e', 'f', 'a', 'b']",0
24,2,"['b', 'a', 'd', 'c', 'f', 'e']",0
25,3,"['c', 'f', 'e', 'd', 'b', 'a']",0
26,4,"['f', 'a', 'e', 'd', 'c', 'b']",0
27,5,"['d', 'f', 'e', 'b', 'a', 'c']",0
28,2,"['b', 'e', 'c', 'f', 'd', 'a']",0
29,3,"['f', 'e', 'c', 'b', 'a', 'd']",0
30,4,"['f', 'c', 'd', 'a', 'e', 'b']",0
31,5,"['b', 'd', 'e', 'a', 'c', 'f']",0
32,2,"['b', 'f', 'd', 'c', 'e', 'a']",0
33,3,"['c', 'e', 'a', 'f', 'd', 'b']",0
34,4,"['b', 'a', 'e', 'c', 'd', 'f']",0
35,5,"['d', 'c', 'f', 'b', 'e', 'a']",0
36,2,"['e', 'b', 'f', 'a', 'c', 'd']",0
37,3,"['b', 'd', 'e', 'f', 'a', 'c']",0
38,4,"['c', 'e', 'b', 'f', 'a', 'd']",0
39,5,"['c', 'a', 'b', 'd', 'e', 'f']",1
40,2,"['e', 'a', 'c', 'd', 'b', 'f']",0
41,3,"['f', 'c', 'e', 'a', 'd', 'b']",0
42,4,"['e', 'c', 'b', 'a', 'd', 'f']",0
43,5,"['a', 'f', 'd', 'e', 'b', 'c']",0
44,2,"['d', 'f', 'a', 'b', 'c', 'e']",0
45,3,"['f', 'e', 'c', 'a', 'd', 'b']",0
46,4,"['c', 'd', 'a', 'f', 'b', 'e']",0
47,5,"['b', 'c', 'e', 'a', 'd', 'f']",0
48,2,"['f', 'c', 'b', 'a', 'e', 'd']",0
49,3,"['a', 'c', 'd', 'f', 'e', 'b']",0
50,4,"['e', 'd', 'b', 'c', 'f', 'a']",0
51,5,"['f', 'e', 'a', 'c', 'd', 'b']",0
52,2,"['e', 'a', 'c', 'b', 'd', 'f']",1
53,3,"['a', 'd', 'b', 'c', 'e', 'f']",0
54,4,"['f', 'd', 'a', 'b', 'e', 'c']",0
55,5,"['e', 'a', 'f', 'd', 'b', 'c']",0
56,2,"['d', 'c', 'e', 'a', 'f', 'b']",0
57,3,"['e', 'f', 'b', 'd', 'a', 'c']",0
58,4,"['e', 'c', 'f', 'b', 'd', 'a']",0
59,5,"['f', 'a', 'b', 'c', 'd', 'e']",0
60,2,"['f', 'd', 'b', 'c', 'a', 'e']",0
61,3,"['d', 'a', 'c', 'f', 'e', 'b']",0
62,4,"['a', 'c', 'e', 'f', 'd', 'b']",0
63,5,"['c', 'f', 'e', 'd', 'a', 'b']",0
64,2,"['f', 'd', 'c', 'b', 'e', 'a']",0
65,3,"['e', 'c', 'a', 'd', 'b', 'f']",0
66,4,"['d', 'b', 'e', 'a', 'c', 'f']",1
67,5,"['e', 'a', 'c', 'd', 'f', 'b']",0
68,2,"['a', 'd', 'b', 'c', 'f', 'e']",0
69,3,"['a', 'b', 'e', 'd', 'f', 'c']",0
70,4,"['c', 'b', 'd', 'e', 'a', 'f']",0
71,5,"['c', 'b', 'e', 'd', 'a', 'f']",0
72,2,"['c', 'e', 'b', 'f', 'd', 'a']",0
73,3,"['a', 'c', 'd', 'b', 'e', 'f']",0
74,4,"['f', 'b', 'c', 'a', 'e', 'd']",0
75,5,"['d', 'c', 'a', 'f', 'e', 'b']",0
76,2,"['f', 'e', 'b', 'a', 'c', 'd']",0
77,3,"['b', 'e', 'f', 'd', 'a', 'c']",0
78,4,"['c', 'f', 'e', 'b', 'a', 'd']",0
79,5,"['d', 'a', 'e', 'c', 'b', 'f']",0
80,2,"['c', 'b', 'f', 'd', 'e', 'a']",0
81,3,"['c', 'a', 'd', 'b', 'e', 'f']",0
82,4,"['b', 'e', 'f', 'a', 'd', 'c']",0
83,5,"['d', 'c', 'b', 'a', 'f', 'e']",0
84,2,"['f', 'b', 'e', 'c', 'd', 'a']",0
85,3,"['a', 'b', 'f', 'e', 'c', 'd']",0
86,4,"['a', 'b', 'e', 'f', 'd', 'c']",0
87,5,"['c', 'f', 'b', 'e', 'd', 'a']",0
88,2,"['e', 'd', 'a', 'c', 'f', 'b']",0
89,3,"['e', 'c', 'a', 'b', 'd', 'f']",0
90,4,"['a', 'e', 'b', 'f', 'd', 'c']",0
91,5,"['b', 'd', 'e', 'c', 'a', 'f']",0
92,2,"['e', 'f', 'd', 'c', 'a', 'b']",1
93,3,"['b', 'f', 'd', 'c', 'e', 'a']",0
94,4,"['e', 'c', 'a', 'f', 'd', 'b']",0
95,5,"['e', 'a', 'f', 'c', 'b', 'd']",0
96,2,"['d', 'f', 'a', 'e', 'c', 'b']",0
97,3,"['d', 'b', 'a', 'f', 'e', 'c']",0
98,4,"['b', 'e', 'f', 'c', 'a', 'd']",0
99,5,"['f', 'a', 'b', 'd', 'c', 'e']",0
Games won,by player 0,with heuristic1: ,92
Games won,by player 1,with heuristic6: ,8
