Game,Max depth,Move Order,Winner
0,2,"['d', 'b', 'e', 'c', 'f', 'a']",1
1,3,"['d', 'e', 'c', 'b', 'f', 'a']",0
2,4,"['c', 'e', 'd', 'b', 'a', 'f']",1
3,5,"['b', 'd', 'f', 'c', 'a', 'e']",0
4,2,"['d', 'c', 'f', 'a', 'b', 'e']",1
5,3,"['e', 'd', 'c', 'b', 'a', 'f']",0
6,4,"['e', 'c', 'a', 'd', 'b', 'f']",0
7,5,"['e', 'f', 'c', 'd', 'b', 'a']",0
8,2,"['f', 'b', 'e', 'a', 'c', 'd']",1
9,3,"['b', 'c', 'e', 'd', 'a', 'f']",0
10,4,"['b', 'e', 'd', 'c', 'a', 'f']",0
11,5,"['c', 'a', 'e', 'd', 'b', 'f']",0
12,2,"['c', 'f', 'a', 'd', 'b', 'e']",1
13,3,"['f', 'd', 'e', 'c', 'b', 'a']",0
14,4,"['c', 'd', 'a', 'e', 'f', 'b']",1
15,5,"['d', 'e', 'b', 'f', 'a', 'c']",1
16,2,"['e', 'b', 'd', 'c', 'f', 'a']",1
17,3,"['a', 'd', 'b', 'c', 'f', 'e']",0
18,4,"['c', 'e', 'd', 'a', 'b', 'f']",1
19,5,"['c', 'e', 'b', 'd', 'f', 'a']",0
20,2,"['d', 'f', 'a', 'c', 'e', 'b']",1
21,3,"['e', 'a', 'd', 'f', 'b', 'c']",1
22,4,"['a', 'd', 'e', 'f', 'c', 'b']",0
23,5,"['e', 'b', 'f', 'a', 'd', 'c']",0
24,2,"['c', 'e', 'b', 'f', 'd', 'a']",1
25,3,"['b', 'c', 'e', 'a', 'f', 'd']",0
26,4,"['d', 'f', 'e', 'c', 'a', 'b']",0
27,5,"['c', 'b', 'd', 'e', 'a', 'f']",0
28,2,"['b', 'e', 'a', 'c', 'f', 'd']",1
29,3,"['d', 'f', 'c', 'b', 'a', 'e']",1
30,4,"['e', 'c', 'd', 'f', 'a', 'b']",0
31,5,"['f', 'b', 'c', 'd', 'a', 'e']",0
32,2,"['f', 'b', 'a', 'd', 'e', 'c']",1
33,3,"['a', 'c', 'd', 'b', 'e', 'f']",0
34,4,"['f', 'a', 'b', 'e', 'd', 'c']",0
35,5,"['d', 'e', 'a', 'f', 'c', 'b']",1
36,2,"['d', 'e', 'a', 'f', 'c', 'b']",0
37,3,"['d', 'b', 'a', 'f', 'c', 'e']",0
38,4,"['c', 'b', 'e', 'f', 'a', 'd']",1
39,5,"['c', 'a', 'd', 'b', 'f', 'e']",0
40,2,"['d', 'b', 'e', 'a', 'c', 'f']",1
41,3,"['c', 'b', 'd', 'a', 'e', 'f']",0
42,4,"['f', 'c', 'b', 'a', 'e', 'd']",0
43,5,"['a', 'e', 'b', 'f', 'c', 'd']",0
44,2,"['d', 'f', 'c', 'e', 'b', 'a']",1
45,3,"['f', 'c', 'd', 'a', 'e', 'b']",0
46,4,"['a', 'e', 'd', 'c', 'b', 'f']",0
47,5,"['e', 'd', 'a', 'b', 'f', 'c']",1
48,2,"['a', 'b', 'e', 'f', 'd', 'c']",1
49,3,"['f', 'a', 'e', 'd', 'c', 'b']",1
50,4,"['d', 'a', 'b', 'e', 'c', 'f']",1
51,5,"['e', 'a', 'b', 'f', 'd', 'c']",1
52,2,"['a', 'f', 'b', 'c', 'e', 'd']",1
53,3,"['e', 'f', 'b', 'a', 'c', 'd']",0
54,4,"['b', 'f', 'c', 'e', 'd', 'a']",1
55,5,"['b', 'd', 'a', 'e', 'c', 'f']",1
56,2,"['d', 'c', 'a', 'f', 'b', 'e']",1
57,3,"['b', 'd', 'f', 'a', 'c', 'e']",0
58,4,"['b', 'c', 'a', 'd', 'e', 'f']",1
59,5,"['c', 'b', 'f', 'd', 'a', 'e']",0
60,2,"['e', 'd', 'f', 'a', 'c', 'b']",1
61,3,"['c', 'e', 'b', 'd', 'f', 'a']",0
62,4,"['b', 'a', 'd', 'e', 'c', 'f']",0
63,5,"['a', 'c', 'b', 'e', 'f', 'd']",0
64,2,"['e', 'b', 'a', 'f', 'c', 'd']",0
65,3,"['d', 'b', 'c', 'e', 'a', 'f']",0
66,4,"['b', 'd', 'f', 'e', 'c', 'a']",0
67,5,"['a', 'd', 'c', 'e', 'f', 'b']",1
68,2,"['b', 'e', 'f', 'd', 'c', 'a']",1
