Game,Max depth,Move Order,Winner
69,3,"['c', 'd', 'e', 'a', 'f', 'b']",0
70,4,"['a', 'd', 'f', 'c', 'e', 'b']",0
71,5,"['e', 'b', 'c', 'a', 'f', 'd']",0
72,2,"['a', 'f', 'e', 'd', 'b', 'c']",1
73,3,"['b', 'f', 'c', 'd', 'a', 'e']",0
74,4,"['b', 'c', 'f', 'a', 'd', 'e']",0
75,5,"['d', 'c', 'b', 'e', 'a', 'f']",0
76,2,"['d', 'f', 'c', 'e', 'b', 'a']",1
77,3,"['b', 'c', 'e', 'a', 'f', 'd']",0
78,4,"['e', 'b', 'a', 'f', 'd', 'c']",1
79,5,"['e', 'f', 'c', 'd', 'a', 'b']",0
80,2,"['e', 'c', 'b', 'd', 'a', 'f']",1
81,3,"['d', 'e', 'f', 'c', 'a', 'b']",0
82,4,"['c', 'a', 'd', 'b', 'f', 'e']",1
83,5,"['a', 'd', 'e', 'b', 'c', 'f']",1
84,2,"['c', 'e', 'b', 'a', 'f', 'd']",0
85,3,"['b', 'a', 'd', 'e', 'f', 'c']",0
86,4,"['f', 'a', 'b', 'c', 'd', 'e']",0
87,5,"['a', 'b', 'e', 'd', 'c', 'f']",1
88,2,"['c', 'e', 'f', 'd', 'b', 'a']",1
89,3,"['a', 'c', 'f', 'e', 'd', 'b']",0
90,4,"['a', 'b', 'c', 'e', 'd', 'f']",0
91,5,"['b', 'a', 'd', 'e', 'c', 'f']",1
92,2,"['a', 'e', 'd', 'c', 'f', 'b']",1
93,3,"['d', 'b', 'e', 'c', 'f', 'a']",0
94,4,"['b', 'e', 'a', 'f', 'd', 'c']",0
95,5,"['b', 'c', 'd', 'e', 'a', 'f']",1
96,2,"['b', 'f', 'd', 'a', 'e', 'c']",1
97,3,"['f', 'e', 'c', 'a', 'b', 'd']",1
98,4,"['d', 'f', 'a', 'e', 'c', 'b']",1
99,5,"['e', 'd', 'a', 'b', 'f', 'c']",1
Games won,by player 0,with heuristic2: ,53
Games won,by player 1,with heuristic3: ,47
