Game,Max depth,Move Order,Winner
0,2,"['b', 'c', 'd', 'a', 'f', 'e']",1
1,3,"['b', 'a', 'c', 'd', 'e', 'f']",1
2,4,"['e', 'd', 'c', 'b', 'f', 'a']",0
3,5,"['d', 'a', 'b', 'c', 'e', 'f']",1
4,2,"['a', 'e', 'c', 'd', 'b', 'f']",1
5,3,"['c', 'd', 'e', 'f', 'b', 'a']",0
6,4,"['e', 'f', 'c', 'b', 'a', 'd']",0
7,5,"['b', 'a', 'c', 'd', 'f', 'e']",1
8,2,"['d', 'e', 'b', 'f', 'a', 'c']",0
9,3,"['e', 'b', 'd', 'c', 'a', 'f']",0
10,4,"['d', 'c', 'b', 'a', 'f', 'e']",1
11,5,"['a', 'f', 'e', 'c', 'b', 'd']",0
12,2,"['c', 'a', 'b', 'e', 'f', 'd']",1
13,3,"['d', 'b', 'c', 'f', 'e', 'a']",1
14,4,"['b', 'a', 'f', 'd', 'c', 'e']",1
15,5,"['e', 'd', 'c', 'b', 'a', 'f']",0
16,2,"['e', 'd', 'c', 'b', 'a', 'f']",0
17,3,"['f', 'a', 'b', 'd', 'c', 'e']",1
18,4,"['d', 'c', 'b', 'f', 'a', 'e']",0
19,5,"['f', 'c', 'a', 'e', 'd', 'b']",1
20,2,"['f', 'c', 'b', 'e', 'd', 'a']",0
21,3,"['d', 'c', 'b', 'e', 'a', 'f']",1
22,4,"['a', 'e', 'd', 'b', 'c', 'f']",1
23,5,"['b', 'a', 'c', 'f', 'd', 'e']",1
24,2,"['c', 'f', 'd', 'a', 'b', 'e']",0
25,3,"['d', 'f', 'a', 'c', 'e', 'b']",1
26,4,"['b', 'd', 'a', 'e', 'f', 'c']",0
27,5,"['b', 'e', 'a', 'd', 'f', 'c']",1
28,2,"['a', 'b', 'f', 'c', 'e', 'd']",0
29,3,"['f', 'e', 'a', 'd', 'b', 'c']",1
30,4,"['a', 'e', 'b', 'd', 'c', 'f']",0
31,5,"['b', 'e', 'f', 'a', 'c', 'd']",0
32,2,"['e', 'd', 'b', 'f', 'c', 'a']",0
33,3,"['e', 'f', 'c', 'a', 'b', 'd']",0
34,4,"['e', 'b', 'c', 'a', 'f', 'd']",0
35,5,"['f', 'd', 'c', 'e', 'a', 'b']",0
36,2,"['b', 'f', 'c', 'd', 'a', 'e']",0
37,3,"['a', 'b', 'e', 'd', 'f', 'c']",1
38,4,"['b', 'e', 'f', 'd', 'a', 'c']",0
